tmdb_id,tipo,título,público,score,votos,fecha,géneros,sinopsis,popularidad,idioma_original,imagen_url
61222,serie,BoJack Horseman,TV-MA,8.539,2792,2014-08-22,"['Animación', 'Comedia', 'Drama']","Conoce al caballo más querido de los noventa, pero 20 años después. Un cascarrabias con un corazón no precisamente de oro, ¿quizás de cobre?",55.9535,en,https://image.tmdb.org/t/p/w500/6JFWzlChcGgLiIUo2COgNlWGFKy.jpg
94796,serie,Aterrizaje de emergencia en tu corazón,TV-MA,8.531,898,2019-12-14,"['Drama', 'Comedia']",Una heredera surcoreana sufre un accidente de parapente en cielos norcoreanos y debe ocultarse en tierra hostil con la ayuda de un oficial del ejército.,15.7645,ko,https://image.tmdb.org/t/p/w500/a6Z73Ou52jHSrelffGK04GyVhtd.jpg
79744,serie,The Rookie,TV-14,8.529,3068,2018-10-16,"['Crimen', 'Drama', 'Comedia']","Comenzar de nuevo no es fácil, especialmente para el chico de una pequeña ciudad John Nolan que, después de un incidente que cambia su vida, está persiguiendo su sueño de ser un oficial de policía de Los Ángeles. Como el novato más viejo de la fuerza, se ha encontrado con el escepticismo de algunos de los superiores que lo ven como una crisis ambulante.",345.7341,en,https://image.tmdb.org/t/p/w500/g39Rn6PcZjK2yLzz5Z5oBKSpsZR.jpg
155,película,Batman: El caballero de la noche,B,8.527,35391,2008-07-16,"['Acción', 'Crimen', 'Suspense']","Cuando la amenaza conocida como el Joker causa estragos y caos en la gente de Ciudad Gótica, Batman debe aceptar una de las mayores pruebas psicológicas y físicas de su capacidad para luchar contra la injusticia.",54.093,en,https://image.tmdb.org/t/p/w500/vLFCrzI3V4kbze877tP1H7TqppL.jpg
60574,serie,Peaky Blinders,TV-MA,8.525,10913,2013-09-12,"['Drama', 'Crimen']","Una familia de pandilleros asentada en Birmingham, Reino Unido, tras la Primera Guerra Mundial (1914-1918), dirige un local de apuestas hípicas. Las actividades del ambicioso jefe de la banda llaman la atención del Inspector jefe Chester Campbell, un detective de la Real Policía Irlandesa que es enviado desde Belfast para limpiar la ciudad y acabar con la banda.",286.4686,en,https://image.tmdb.org/t/p/w500/zUqNyXRfYkFAFXsqJJjKMZpjYus.jpg
96462,serie,Está bien no estar bien,TV-MA,8.513,1456,2020-06-20,"['Drama', 'Comedia']","Una historia sobre un empleado de una sala psiquiátrica y una mujer, con un trastorno de personalidad antisocial, que es una escritora popular de libros infantiles. Un hombre que niega el amor y una mujer que no conoce el amor desafían el destino y se enamoran, encontrando sus almas e identidades en el proceso.",14.1046,ko,https://image.tmdb.org/t/p/w500/yGoQugW6v16jdK32JNhMpHl1aCo.jpg
19885,serie,Sherlock,TV-14,8.51,6295,2010-07-25,"['Crimen', 'Drama', 'Misterio']","Moderna actualización del mito de Sherlock Holmes, ambientado en el Londres del siglo XXI. Sus insuperables habilidades de deducción y su arrogante distanciamiento emocional le convierten en el perfecto detective junto a su inseparable compañero John Watson.",49.7368,en,https://image.tmdb.org/t/p/w500/7WTsnHkbA0FaG6R9twfFde0I9hl.jpg
497,película,Milagros Inesperados,B,8.505,18996,1999-12-10,"['Fantasía', 'Drama', 'Crimen']","Las vidas de los guardias del corredor de la muerte se ven afectadas por uno de sus cargos: un hombre negro acusado de asesinato y violación de niños, pero que tiene un misterioso don.",31.5701,en,https://image.tmdb.org/t/p/w500/7ezlnHDn6clFku58TmFmpKUQUqf.jpg
197067,serie,"Woo, Una Abogada Extraordinaria",TV-14,8.5,911,2022-06-29,['Drama'],"Woo Young-woo, una brillante abogada con autismo, lidia con los retos que le plantean la vida cotidiana y los tribunales cuando se incorpora a un importante bufete.",22.8095,ko,https://image.tmdb.org/t/p/w500/6Gd8OleJSPseygKWIAEia4AyM4G.jpg
218539,serie,Mi Adorable Demonio,TV-MA,8.5,626,2023-11-24,"['Drama', 'Comedia']",Un implacable demonio pierde sus poderes tras conocer a la joven y arrogante heredera de una empresa. ¿Tendrá ella la llave para resolver su problema... y entrar a su corazón?,23.4735,ko,https://image.tmdb.org/t/p/w500/nOSDJNtN9JZxikBiRAfyQ8K91dH.jpg
68349,serie,"El Hada del Levantamiento de Pesas, Kim Bok-joo",B-15,8.5,935,2016-11-16,"['Comedia', 'Drama']","Cuenta la historia de Kim Bok Joo, una joven de 22 años de edad. Huérfana de madre, quien se quedó al cuidado de su padre, un ex levantador de pesas. Asiste a la universidad Hanwool, en la especialidad de Educación física, en la cual muchos atletas entrenan para competencias y así poder representar a su país; ella al igual que su padre se dedica al levantamiento de pesas. Bok Joo conocerá a su primer amor, un médico de una clínica de obesidad. Sin embargo, ella no contaba con que el hermano de este médico fuera Jung Joon Hyung, un viejo compañero de la escuela primaria, con quien además tendrá una colorida amistad. ¿Solo tendrán una bella amistad o nacerán sentimientos románticos?",9.2722,ko,https://image.tmdb.org/t/p/w500/8SW0FS3U4nJQVIQj1hecU2Fon8Z.jpg
